역번호,호선,역명,LAT,LON
2522,5,오목교,37.524557,126.875049
2523,5,양평,37.525614,126.886177
2525,5,영등포시장,37.52272,126.905131
2527,5,여의도,37.521578,126.924318
2528,5,여의나루,37.527145,126.932807
2529,5,마포,37.539718,126.946043
2530,5,공덕,37.544005,126.951058
2531,5,애오개,37.553592,126.956733
2533,5,서대문,37.565812,126.966639
2534,5,광화문,37.570545,126.976568
2538,5,청구,37.560237,127.01379
2539,5,신금호,37.554504,127.020403
2540,5,행당,37.557297,127.029482
2542,5,마장,37.566066,127.042921
2543,5,답십리,37.566833,127.05266
2544,5,장한평,37.561438,127.064601
2545,5,군자,37.557102,127.079559
2546,5,아차산,37.552005,127.089609
2547,5,광나루,37.545301,127.103478
2548,5,천호,37.538566,127.123539
2549,5,강동,37.53581,127.13249
2550,5,길동,37.538022,127.140085
2551,5,굽은다리,37.545442,127.142844
2552,5,명일,37.551317,127.144002
2553,5,고덕,37.555002,127.154214
2554,5,상일동,37.556714,127.166381
2555,5,둔촌동,37.527787,127.136219
2556,5,올림픽공원,37.516217,127.130957
2557,5,방이,37.508752,127.126054
2559,5,개롱,37.498097,127.134817
2560,5,거여,37.493208,127.143983
2561,5,마천,37.494972,127.152784
2562,5,강일,37.557521,127.176018
2563,5,미사,37.56329,127.192954
2564,5,하남풍산,37.552201,127.203897
2565,5,하남시청,37.541723,127.206901
2566,5,하남검단산,37.539729,127.223427
2611,6,응암,37.59859,126.915583
2612,6,역촌,37.60605,126.922764
2614,6,독바위,37.618413,126.933035
2616,6,구산,37.611223,126.917246
2617,6,새절,37.591148,126.913613
2618,6,증산,37.583989,126.909785
2619,6,디지털미디어시티,37.577005,126.898643
2620,6,월드컵경기장,37.569439,126.899077
2621,6,마포구청,37.563535,126.903326
2622,6,망원,37.556031,126.910129
2624,6,상수,37.547704,126.92292
2625,6,광흥창,37.547464,126.931971
2626,6,대흥,37.547732,126.942214
2628,6,효창공원앞,37.539279,126.961348
2630,6,녹사평,37.53469,126.98665
2631,6,이태원,37.534485,126.994369
2632,6,한강진,37.53956,127.001729
2633,6,버티고개,37.547933,127.006948
2638,6,창신,37.579772,127.015246
2639,6,보문,37.585293,127.019377
2640,6,안암,37.586261,127.02903
2641,6,고려대,37.59034,127.03626
2642,6,월곡,37.60192,127.041492
2643,6,상월곡,37.606392,127.048509
2644,6,돌곶이,37.610522,127.056419
2646,6,태릉입구,37.617319,127.074741
2647,6,화랑대,37.619875,127.084106
2648,6,봉화산,37.617293,127.091375
2649,6,신내,37.612571,127.104326
2711,7,장암,37.70015,127.053126
2713,7,수락산,37.677804,127.055314
2714,7,마들,37.664985,127.057701
2716,7,중계,37.645052,127.064084
2717,7,하계,37.636363,127.067999
2718,7,공릉,37.625642,127.072969
2720,7,먹골,37.610638,127.077719
2721,7,중화,37.602604,127.079254
2722,7,상봉,37.595673,127.085708
2723,7,면목,37.588671,127.087503
2724,7,사가정,37.580912,127.088502
2725,7,용마산,37.573752,127.086802
2726,7,중곡,37.565877,127.084291
2728,7,어린이대공원,37.547962,127.07465
2730,7,뚝섬유원지,37.531558,127.066714
2731,7,청담,37.519097,127.051851
2732,7,강남구청,37.517185,127.04122
2733,7,학동,37.514262,127.031738
2734,7,논현,37.511108,127.021385
2735,7,반포,37.508171,127.011717
2737,7,내방,37.48764,126.993541
2738,7,이수,37.485306,126.981654
2739,7,남성,37.484688,126.971108
2740,7,숭실대입구,37.496258,126.953649
2741,7,상도,37.50279,126.947949
2742,7,장승배기,37.504845,126.939025
2743,7,신대방삼거리,37.499717,126.928218
2744,7,보라매,37.499916,126.920112
2745,7,신풍,37.500107,126.909806
2747,7,남구로,37.486181,126.887372
2749,7,철산,37.47616,126.868217
2750,7,광명사거리,37.47927,126.854854
2751,7,천왕,37.486699,126.838684
2811,8,암사,37.550127,127.127521
2813,8,강동구청,37.530348,127.120461
2814,8,몽촌토성,37.517692,127.11274
2816,8,석촌,37.505396,127.106995
2817,8,송파,37.49978,127.11212
2819,8,문정,37.485931,127.122473
2820,8,장지,37.478609,127.126229
2821,8,복정,37.471016,127.126746
2822,8,산성,37.456886,127.149927
2823,8,남한산성입구,37.451568,127.159845
2824,8,단대오거리,37.445057,127.156735
2825,8,신흥,37.440952,127.14759
2826,8,수진,37.437575,127.140936
2827,8,모란,37.433888,127.129921
2828,8,남위례,37.462839,127.139047
